row,date,signal_id,ticker,politician,sig_action,trade_price,current_price,price_change_pct,days_since_trade,decision,reason,score,time_decay,price_move,pos_size,pol_skill,src_qual,position_size_usd,cash_before,cash_after,open_positions
161,2026-01-16,"ct_20003794756",BMY,"Julie Johnson",SELL,52.71,55.26,4.84,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
162,2026-01-16,"ct_20003794757",COF,"Julie Johnson",SELL,242.80,239.14,-1.51,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
163,2026-01-16,"ct_20003794758",CARR,"Julie Johnson",SELL,53.20,56.19,5.62,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
164,2026-01-16,"ct_20003794759",SCHW,"Julie Johnson",SELL,97.23,103.82,6.78,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
165,2026-01-16,"ct_20003794760",CVX,"Julie Johnson",SELL,147.69,166.26,12.57,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
166,2026-01-16,"ct_20003794761",CME,"Julie Johnson",SELL,266.03,279.50,5.06,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
167,2026-01-16,"ct_20003794762",CMS,"Julie Johnson",SELL,70.61,71.68,1.52,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
168,2026-01-16,"ct_20003794764",CMCSA,"Julie Johnson",SELL,28.04,27.82,-0.79,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
169,2026-01-16,"ct_20003794765",COP,"Julie Johnson",SELL,92.23,98.19,6.46,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
170,2026-01-16,"ct_20003794766",DHR,"Julie Johnson",SELL,224.04,235.99,5.33,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
171,2026-01-16,"ct_20003794767",DE,"Julie Johnson",SELL,473.41,514.40,8.66,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
172,2026-01-16,"ct_20003794768",DOV,"Julie Johnson",SELL,196.07,206.61,5.38,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
173,2026-01-16,"ct_20003794769",ETN,"Julie Johnson",SELL,315.95,343.75,8.80,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
174,2026-01-16,"ct_20003794770",LLY,"Julie Johnson",SELL,1056.88,1038.40,-1.75,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
175,2026-01-16,"ct_20003794771",EOG,"Julie Johnson",SELL,101.64,105.32,3.62,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
176,2026-01-16,"ct_20003794772",FIS,"Julie Johnson",SELL,65.90,63.35,-3.87,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
177,2026-01-16,"ct_20003794773",GD,"Julie Johnson",SELL,335.97,367.38,9.35,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
178,2026-01-16,"ct_20003794774",GS,"Julie Johnson",SELL,876.30,962.00,9.78,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
179,2026-01-16,"ct_20003794775",HD,"Julie Johnson",SELL,354.99,380.17,7.09,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
180,2026-01-16,"ct_20003794776",IBM,"Julie Johnson",SELL,300.45,305.67,1.74,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
181,2026-01-16,"ct_20003794777",JNJ,"Julie Johnson",SELL,208.31,218.66,4.97,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
182,2026-01-16,"ct_20003794778",MCD,"Julie Johnson",SELL,319.65,307.43,-3.82,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
183,2026-01-16,"ct_20003794779",MDT,"Julie Johnson",SELL,98.48,96.76,-1.75,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
184,2026-01-16,"ct_20003794780",MRK,"Julie Johnson",SELL,100.69,108.83,8.08,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
185,2026-01-16,"ct_20003794781",MSFT,"Julie Johnson",SELL,483.98,459.86,-4.98,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
186,2026-01-16,"ct_20003794782",MDLZ,"Julie Johnson",SELL,54.28,57.24,5.45,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
187,2026-01-16,"ct_20003794783",MS,"Julie Johnson",SELL,172.96,189.09,9.33,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
188,2026-01-16,"ct_20003794784",NEE,"Julie Johnson",SELL,80.85,83.63,3.44,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
189,2026-01-16,"ct_20003794785",NSC,"Julie Johnson",SELL,291.83,290.63,-0.41,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
190,2026-01-16,"ct_20003794786",NXPI,"Julie Johnson",SELL,222.08,237.11,6.77,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
191,2026-01-16,"ct_20003794787",PKG,"Julie Johnson",SELL,204.03,221.33,8.48,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
192,2026-01-16,"ct_20003794788",PEP,"Julie Johnson",SELL,149.37,146.32,-2.04,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
193,2026-01-16,"ct_20003794789",PM,"Julie Johnson",SELL,155.89,173.62,11.37,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
194,2026-01-16,"ct_20003794790",PG,"Julie Johnson",SELL,145.52,144.53,-0.68,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
195,2026-01-16,"ct_20003794791",PGR,"Julie Johnson",SELL,211.43,202.37,-4.29,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
196,2026-01-16,"ct_20003794793",RSG,"Julie Johnson",SELL,212.83,210.96,-0.88,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
197,2026-01-16,"ct_20003794794",RTX,"Julie Johnson",SELL,178.29,201.92,13.25,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
198,2026-01-16,"ct_20003794795",STX,"Julie Johnson",SELL,291.24,326.23,12.02,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
199,2026-01-16,"ct_20003794797",TXN,"Julie Johnson",SELL,176.19,191.58,8.73,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
